behaveDiff,payDate,race2,racethn4,educ3,educ4,age3,kids,orientation,weight
No,Sometimes,White,White,Some college,Some college,35 - 64,Has children,Straight,0.635800722
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.8371719
No,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.157726666
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.05465732
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.825123786
NA,Never,White,White,College or more,College or more,65 and up,Has children,Straight,0.788585623
NA,Often,Non-white,Black,Some college,Some college,35 - 64,Has children,Straight,1.210280865
Yes,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.678517434
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059086641
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.019744451
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.536890969
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,1.033400454
NA,Always,Non-white,Hispanic,College or more,College or more,65 and up,No children,Straight,1.010046392
NA,Sometimes,White,White,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.056149672
NA,Sometimes,Non-white,Hispanic,Some college,Some college,35 - 64,No children,Straight,1.79575539
Yes,Often,Non-white,Other,College or more,Post graduate degree,35 - 64,Has children,Straight,0.135684463
NA,Always,White,White,High school or less,High school or less,35 - 64,No children,Straight,1.929476216
NA,Often,Non-white,Other,College or more,Post graduate degree,18 - 34,Has children,Straight,0.295670187
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.066180659
NA,Never,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.059076967
NA,Always,White,White,High school or less,High school or less,65 and up,No children,Straight,1.561797238
NA,Sometimes,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.920637267
No,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.50999378
No,Often,White,White,College or more,College or more,18 - 34,No children,Straight,1.679588526
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,3.042822946
No,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600430108
NA,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.608994519
Yes,Never,White,White,Some college,Some college,35 - 64,Has children,Straight,0.596377432
NA,Never,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.872817579
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Gay/Bisexual,0.057243954
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.062596774
NA,Often,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.060012942
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.620528742
No,Always,Non-white,Other,Some college,Some college,35 - 64,No children,Straight,1.275042651
NA,Always,Non-white,Black,College or more,Post graduate degree,65 and up,Has children,Straight,0.181575936
Yes,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.545344405
NA,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Other,0.07845712
NA,Rarely,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059086641
NA,Never,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Straight,0.130138597
NA,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.344509376
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.608994519
Yes,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.605148042
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.64648046
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.461500079
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.999202175
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.536890969
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066058959
NA,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.819306183
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
NA,Often,Non-white,Black,College or more,Post graduate degree,35 - 64,Has children,Straight,0.191786524
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.066058959
No,Sometimes,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.061599115
NA,Sometimes,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.481320343
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059086641
No,No answer,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.058913986
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.468530772
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.37986596500000003
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.504498341
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076678628
Yes,Sometimes,White,White,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.071511001
Yes,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.498452733
No,Often,Non-white,Other,Some college,Some college,35 - 64,Has children,Straight,3.794318724
NA,Often,White,White,Some college,Some college,65 and up,No children,Gay/Bisexual,0.615179712
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057243954
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.617906017
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064265518
NA,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.515746057
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,1.05284753
NA,Always,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Straight,0.102593101
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066058959
No,Often,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.699323229
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.059882095
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.072953761
NA,Never,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
No,Often,White,White,Some college,Some college,35 - 64,No children,Straight,0.676830156
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
NA,Sometimes,Non-white,Black,College or more,College or more,35 - 64,Has children,Straight,1.120861546
No,Often,White,White,Some college,Some college,65 and up,No children,Gay/Bisexual,0.600640079
NA,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.06088325
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
Yes,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.611347689
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057243954
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,1.247120116
Yes,Rarely,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.071511001
NA,Always,Non-white,Other,College or more,Post graduate degree,35 - 64,Has children,Straight,0.135684463
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.716907351
NA,Sometimes,Non-white,Other,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.132485105
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.483958033
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064138043
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.754621089
NA,Often,Non-white,Hispanic,Some college,Some college,35 - 64,Has children,Gay/Bisexual,1.806316255
NA,Sometimes,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515746057
NA,Often,White,White,High school or less,High school or less,65 and up,No children,Straight,1.743824365
No,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600640079
NA,Never,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.072953761
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059076967
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.656435308
NA,Sometimes,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.760596735
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064265518
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600640079
No,Always,Non-white,Black,College or more,College or more,35 - 64,Has children,Straight,0.870639032
Yes,Sometimes,White,White,Some college,Some college,35 - 64,No children,Straight,0.801371981
No,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057221751
No,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.635442753
NA,Rarely,White,White,College or more,College or more,65 and up,No children,Straight,0.373985307
NA,Never,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059086641
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
Yes,Sometimes,Non-white,Hispanic,College or more,College or more,35 - 64,No children,Straight,1.758385139
NA,Always,White,White,College or more,College or more,65 and up,Has children,Gay/Bisexual,0.656490054
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.536890969
Yes,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.699323229
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,4.239856567
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.713051506
No,Often,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.481730211
NA,Never,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.061657168
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.743824365
Yes,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.759256942
Yes,Often,White,White,Some college,Some college,35 - 64,No children,Straight,0.579332702
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,2.573324496
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.644454454
NA,Always,White,White,College or more,College or more,65 and up,No children,Straight,0.758425823
No,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.0749326
NA,Rarely,White,White,Some college,Some college,65 and up,No children,Straight,0.560161233
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,3.220516076
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.060690026
NA,Always,Non-white,Black,Some college,Some college,65 and up,No children,Straight,1.139105469
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.059882095
NA,Rarely,White,White,Some college,Some college,65 and up,No children,Gay/Bisexual,0.58030604
NA,Always,White,White,High school or less,High school or less,35 - 64,No children,Straight,2.704247444
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.318799131
No,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.06942877
NA,Always,Non-white,Other,College or more,Post graduate degree,35 - 64,Has children,Straight,0.109284889
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
NA,Often,White,White,High school or less,High school or less,65 and up,No children,Straight,2.573324496
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.059086641
NA,Often,White,White,High school or less,High school or less,65 and up,No children,Straight,1.920637267
NA,Often,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.701902028
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.788585623
NA,Never,White,White,High school or less,High school or less,35 - 64,No children,Gay/Bisexual,1.23499056
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
No,Sometimes,Non-white,Black,College or more,Post graduate degree,65 and up,No children,Straight,0.125495735
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.635442753
NA,Often,Non-white,Black,College or more,College or more,35 - 64,Has children,Straight,0.870639032
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.074371184
No answer,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,1.330524583
NA,Sometimes,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Straight,0.08551979
NA,Sometimes,Non-white,Other,Some college,Some college,65 and up,No children,Straight,0.610137425
No,Sometimes,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.058913986
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069983836
NA,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.055426752
NA,No answer,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.069031279
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.061657168
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.433981175
NA,Sometimes,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057221751
NA,Rarely,White,White,High school or less,High school or less,35 - 64,No children,Straight,2.389413294
NA,Always,Non-white,Hispanic,College or more,Post graduate degree,65 and up,Has children,Straight,0.203607746
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.120514144
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.676830156
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.056642551
NA,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.075702924
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.529114239
Yes,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.484712546
NA,Never,White,White,College or more,College or more,65 and up,Has children,Straight,0.656490054
No,Sometimes,White,White,College or more,College or more,35 - 64,No children,Straight,0.67857412
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.64648046
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.666817365
No,Sometimes,White,White,College or more,College or more,65 and up,No children,Gay/Bisexual,0.672943934
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.452883113
NA,Never,Non-white,Black,College or more,Post graduate degree,65 and up,Has children,Straight,0.174572656
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
No,No answer,White,White,College or more,College or more,35 - 64,Has children,Straight,0.433981175
Yes,Often,Non-white,Hispanic,High school or less,High school or less,35 - 64,No children,Straight,4.445843787
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.62074615
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
NA,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.408203209
NA,Always,White,White,High school or less,High school or less,35 - 64,No children,Straight,2.621071965
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.676830156
NA,Often,White,White,Some college,Some college,65 and up,No children,Gay/Bisexual,0.656435308
NA,No answer,White,White,College or more,Post graduate degree,65 and up,NA,Straight,0.072953761
NA,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.066417872
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057243954
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.088870452
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.498452733
Yes,Always,Non-white,Other,College or more,College or more,35 - 64,No children,Straight,0.736641705
No,Often,Non-white,Other,Some college,Some college,35 - 64,Has children,Straight,0.794568542
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.069031279
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600430108
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,Never,Non-white,Other,College or more,Post graduate degree,65 and up,No children,Straight,0.102593101
NA,Sometimes,White,White,Some college,Some college,35 - 64,Has children,Straight,0.756812977
No,Sometimes,White,White,College or more,College or more,65 and up,No children,Straight,0.999179623
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.816495932
NA,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.617906017
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.615179712
No,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.600430108
NA,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.808261123
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076899939
NA,Always,Non-white,Black,College or more,College or more,65 and up,No children,Straight,0.81360532
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.452883113
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.079683658
NA,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.070891714
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600640079
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Gay/Bisexual,0.019744451
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
NA,Always,Non-white,Black,College or more,College or more,65 and up,Has children,Straight,0.663800365
NA,Never,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
No,Always,Non-white,Hispanic,College or more,College or more,18 - 34,No children,Straight,4.211810662
No,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.565816475
NA,Always,Non-white,Hispanic,High school or less,High school or less,35 - 64,Has children,Straight,4.268333006
NA,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.788585623
NA,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.309021099
No,Often,White,White,Some college,Some college,35 - 64,No children,Straight,0.639636832
No,Sometimes,White,White,College or more,College or more,65 and up,No children,Gay/Bisexual,0.468530772
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.987291118
NA,Often,Non-white,Hispanic,Some college,Some college,65 and up,Has children,Straight,2.013550503
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.058149837
Yes,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.639636832
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.077817693
Yes,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.896102787
NA,Always,Non-white,Black,Some college,Some college,35 - 64,Has children,Straight,1.617539251
No,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.635442753
No,Sometimes,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.058104994
NA,No answer,White,White,College or more,College or more,65 and up,Has children,Straight,0.309021099
No,Often,White,White,Some college,Some college,35 - 64,No children,Straight,0.780180584
No,Often,White,White,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.058104994
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.808261123
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.759769975
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.077817693
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.788585623
No,Always,Non-white,Other,College or more,College or more,35 - 64,No children,Straight,0.813105345
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,1.330524583
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064265518
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.656781403
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600430108
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.481730211
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.066180659
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.644454454
NA,Sometimes,Non-white,Black,High school or less,High school or less,35 - 64,Has children,Straight,2.488420317
NA,No answer,White,White,College or more,College or more,35 - 64,No children,Straight,0.528111461
NA,Always,White,White,High school or less,High school or less,65 and up,No children,Straight,2.372720095
Yes,Sometimes,Non-white,Hispanic,Some college,Some college,35 - 64,Has children,Gay/Bisexual,1.852407535
Yes,Sometimes,White,White,College or more,College or more,35 - 64,Has children,Straight,0.457000015
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,1.368514529
Yes,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Other,0.069031279
No,Always,Non-white,Other,High school or less,High school or less,65 and up,Has children,Straight,1.817001859
NA,No answer,White,White,College or more,College or more,65 and up,Has children,Straight,0.408203209
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.879540673
No,Rarely,White,White,College or more,Post graduate degree,18 - 34,No children,Straight,0.175161484
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.060872912
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.758425823
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.754621089
No,Often,White,White,College or more,College or more,18 - 34,No children,Straight,1.796263588
NA,Sometimes,White,White,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.058890257
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.019744451
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066058959
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.635442753
Yes,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.442494849
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.408203209
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.461500079
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057221751
NA,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.512408421
Yes,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.120514144
No,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.572646779
No,Sometimes,White,White,Some college,Some college,35 - 64,No children,Other,0.579332702
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076678628
No,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.8371719
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.019744451
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066180659
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.067232193
No,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.656490054
No,Often,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.05030667
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.060690026
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.672943934
No answer,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,1.330524583
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.663356077
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,1.007211666
NA,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.611347689
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.635442753
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484712546
Yes,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.685683311
No,Often,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.655175216
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.468530772
No,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.157726666
NA,Always,Non-white,Other,College or more,College or more,65 and up,Has children,Gay/Bisexual,0.712571449
NA,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.061673113
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
No,Always,Non-white,Other,College or more,College or more,35 - 64,No children,Straight,0.417824031
No,Sometimes,Non-white,Hispanic,College or more,Post graduate degree,35 - 64,Has children,Straight,0.215331733
No,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.23499056
Yes,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.808261123
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.476678339
No,Always,Non-white,Black,Some college,Some college,35 - 64,Has children,Straight,1.080193625
NA,Never,White,White,Some college,Some college,65 and up,Has children,Straight,0.56064317
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.58030604
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.068451798
Yes,Often,White,White,Some college,Some college,35 - 64,No children,Straight,1.506540878
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
No,Always,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Straight,0.104377201
No,Sometimes,White,White,Some college,Some college,35 - 64,No children,Straight,0.392153054
NA,Sometimes,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Straight,0.090795934
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.825123786
Yes,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.515567485
No,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.058913986
No,Often,White,White,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.071511001
NA,Often,White,White,Some college,Some college,65 and up,No children,Straight,0.504498341
Yes,Always,Non-white,Other,College or more,College or more,35 - 64,No children,Straight,0.506430474
No,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.676830156
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.533443768
No,Always,White,White,Some college,Some college,35 - 64,Has children,Other,0.804195037
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Gay/Bisexual,0.066058959
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.695610733
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
No,Always,White,White,Some college,Some college,35 - 64,Has children,Gay/Bisexual,0.403697402
NA,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.96130902
No,Never,White,White,College or more,College or more,35 - 64,Has children,Straight,0.608994519
No,Often,Non-white,Other,College or more,Post graduate degree,65 and up,No children,Straight,0.102567337
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Other,1.804417689
No,Always,Non-white,Black,College or more,College or more,18 - 34,NA,Straight,2.500744228
NA,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,1.397174834
Yes,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.656490054
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.468530772
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
NA,Often,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.528111461
No,Often,White,White,High school or less,High school or less,35 - 64,No children,Straight,1.804417689
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.059086641
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064265518
NA,Never,Non-white,Other,High school or less,High school or less,35 - 64,Has children,Straight,1.567920786
No,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.938684211
NA,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.695610733
NA,Sometimes,White,White,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.071511001
No,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.856878081
No,Always,White,White,College or more,College or more,65 and up,No children,Straight,0.496283147
NA,Sometimes,White,White,College or more,College or more,65 and up,No children,Gay/Bisexual,0.484712546
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.060690026
NA,Sometimes,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.422392592
NA,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.433981175
No,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.515567485
